KOS Makarovo;КОС Макарово;c:\Отчетность по работе станций\КОС Макарово;..\reports\kos_makarovo;kos_makarovo;;;
\n№\n\n\n;\nДата/время\n\n\n;\nРасход на входе 1, м3\n\n;\nРасход на входе 2, м3\n\n;\nРасход на выходе, м3\n\n;;;
00000;0000.00.00  00:00;0000000000000.0;0000000000000.0;0000000000000.0;;;
1;2024.04.01;59.9;50.8;110.7;0.0;0.0;
2;2024.04.02;0.0;95.2;95.2;0.0;0.0;
3;2024.04.03;0.0;101.0;101.0;0.0;0.0;
4;2024.04.04;57.6;50.5;108.1;0.0;0.0;
5;2024.04.05;105.6;0.0;105.6;0.0;0.0;
6;2024.04.06;113.8;0.0;113.8;0.0;0.0;
7;2024.04.07;19.3;88.5;107.7;0.0;0.0;
8;2024.04.08;0.0;100.0;100.0;0.0;0.0;
9;2024.04.09;0.0;100.2;100.2;0.0;0.0;
10;2024.04.10;94.2;7.7;101.9;0.0;0.0;
11;2024.04.11;0.0;0.0;0.0;0.0;0.0;
12;2024.04.12;0.0;0.0;0.0;0.0;0.0;
13;2024.04.13;0.0;0.0;0.0;0.0;0.0;
14;2024.04.14;0.0;0.0;0.0;0.0;0.0;
15;2024.04.15;0.0;0.0;0.0;0.0;0.0;
16;2024.04.16;0.0;0.0;0.0;0.0;0.0;
17;2024.04.17;0.0;0.0;0.0;0.0;0.0;
18;2024.04.18;0.0;0.0;0.0;0.0;0.0;
19;2024.04.19;0.0;0.0;0.0;0.0;0.0;
20;2024.04.20;0.0;0.0;0.0;0.0;0.0;
21;2024.04.21;0.0;0.0;0.0;0.0;0.0;
22;2024.04.22;0.0;0.0;0.0;0.0;0.0;
23;2024.04.23;0.0;0.0;0.0;0.0;0.0;
24;2024.04.24;0.0;0.0;0.0;0.0;0.0;
25;2024.04.25;0.0;0.0;0.0;0.0;0.0;
26;2024.04.26;0.0;0.0;0.0;0.0;0.0;
27;2024.04.27;0.0;0.0;0.0;0.0;0.0;
28;2024.04.28;0.0;0.0;0.0;0.0;0.0;
29;2024.04.29;0.0;0.0;0.0;0.0;0.0;
30;2024.04.30;0.0;0.0;0.0;0.0;0.0;
