VZU Teploe;ВЗУ Теплое;c:\Отчетность по работе станций\ВЗУ Теплое;vzu_teploe;;;;
\n№\n\n\n;\nДата/время\n\n\n;\nРасход на входе 1, м3\n\n;\nРасход на входе 2, м3\n\n;\nРасход на выходе, м3\n\n;;;
00000;0000.00.00  00:00;0000000000000.0;0000000000000.0;0000000000000.0;;;
1;2023.12.01;0.0;0.0;0.0;0.0;0.0;
2;2023.12.02;0.0;0.0;0.0;0.0;0.0;
3;2023.12.03;0.0;0.0;0.0;0.0;0.0;
4;2023.12.04;0.0;0.0;0.0;0.0;0.0;
5;2023.12.05;0.0;0.0;0.0;0.0;0.0;
6;2023.12.06;0.0;0.0;0.0;0.0;0.0;
7;2023.12.07;0.0;0.0;0.0;0.0;0.0;
8;2023.12.08;0.0;0.0;0.0;0.0;0.0;
9;2023.12.09;0.0;0.0;0.0;0.0;0.0;
10;2023.12.10;0.0;0.0;0.0;0.0;0.0;
11;2023.12.11;0.0;0.0;0.0;0.0;0.0;
12;2023.12.12;0.0;0.0;0.0;0.0;0.0;
13;2023.12.13;0.0;0.0;0.0;0.0;0.0;
14;2023.12.14;0.0;0.0;0.0;0.0;0.0;
15;2023.12.15;0.0;0.0;0.0;0.0;0.0;
16;2023.12.16;0.0;0.0;0.0;0.0;0.0;
17;2023.12.17;0.0;0.0;0.0;0.0;0.0;
18;2023.12.18;0.0;0.0;0.0;0.0;0.0;
19;2023.12.19;0.0;0.0;0.0;0.0;0.0;
20;2023.12.20;0.0;0.0;0.0;0.0;0.0;
21;2023.12.21;0.0;0.0;0.0;0.0;0.0;
22;2023.12.22;0.0;0.0;0.0;0.0;0.0;
23;2023.12.23;0.0;0.0;0.0;0.0;0.0;
24;2023.12.24;0.0;0.0;0.0;0.0;0.0;
25;2023.12.25;0.0;0.0;0.0;0.0;0.0;
26;2023.12.26;0.0;0.0;0.0;0.0;0.0;
27;2023.12.27;0.0;0.0;0.0;0.0;0.0;
28;2023.12.28;0.0;0.0;0.0;0.0;0.0;
29;2023.12.29;0.0;0.0;0.0;0.0;0.0;
30;2023.12.30;0.0;0.0;0.0;0.0;0.0;
31;2023.12.31;0.0;0.0;0.0;0.0;0.0;
